i386|universe|memstat|memstat
i386|main|libdirectfb-dev|directfb-csource,directfb-config
all|multiverse|mgltools-vision|runVision
all|universe|backupninja|backupninja,ninjahelper
all|universe|system-config-samba|system-config-samba
i386|universe|libfm-gtk-data|libfm-pref-apps
i386|universe|gbatnav|gbnrobot,gbnserver,gbnclient
i386|universe|libgeier0|geier
i386|universe|tmake|progen,tmake
i386|universe|ax25mail-utils|axgetlist,axgetmsg,update_routes,msgcleanup,ulistd,axgetmail,home_bbs
all|universe|xfce4-dev-tools|xdt-commit,xdt-autogen
i386|universe|cxref|cxref-cpp-configure,cxref-query,cxref,cxref-cpp,cxref-cc,cxref-cpp.upstream
i386|universe|libxr1-dev|xdl-compiler
i386|universe|prosody|prosodyctl,ejabberd2prosody,prosody-migrator,prosody
all|universe|mini-dinstall|mini-dinstall
i386|universe|kid3|kid3
i386|main|libnspr4-dev|nspr-config
i386|universe|gtkam|gtkam
all|universe|funnyboat|funnyboat
all|universe|libheckle-ruby1.8|heckle
i386|universe|ldnsutils|ldns-verify-zone,ldns-nsec3-hash,ldns-notify,ldns-resolver,ldns-walk,ldns-testns,ldns-mx,ldnsd,ldns-update,ldns-signzone,ldns-test-edns,ldns-revoke,ldns-dpa,ldns-zsplit,ldns-chaos,drill,ldns-zcat,ldns-key2ds,ldns-keyfetcher,ldns-rrsig,ldns-read-zone,ldns-version,ldns-keygen,ldns-gen-zone,ldns-compare-zones,ldns-config
i386|universe|pbuilder-uml|pdebuild-user-mode-linux,pbuilder-user-mode-linux
i386|universe|lilypond|lilymidi,etf2ly,midi2ly,lilypond-invoke-editor,convert-ly,abc2ly,lilysong,lilypond-book,lilypond,musicxml2ly
i386|universe|sdate|sdate
i386|universe|magics++|magmlx,mapgen_clip
i386|universe|webxml|webxml
i386|universe|xfce4-screenshooter|xfce4-screenshooter
i386|universe|ggz-gnome-client|motd_editor,ggz-gnome
i386|main|libpam-mount|mount.crypto_LUKS,pmt-ofl,umount.crypto_LUKS,mount.crypt,umount.crypt,mount.crypt_LUKS,pmt-fd0ssh,pmvarrun,pmt-ehd,umount.crypt_LUKS
i386|universe|qfreefax|qfreefax
i386|universe|acpidump|acpixtract,acpidump
all|universe|asciio|asciio
i386|universe|gpac|MP4Box,MP4Client,Osmo4
all|universe|vim-vimoutliner|otl2html,vo_maketags,otl2docbook,otl2pdb
all|universe|pcp-import-sar2pcp|sar2pcp
all|universe|pinta|pinta
all|universe|libevent-execflow-perl|execflow
i386|main|mscgen|mscgen
all|universe|search-ccsb|search-ccsb
i386|universe|smartdimmer|smartdimmer
i386|universe|scrotwm|scrotwm,x-window-manager
i386|universe|fbdesk|fbdesk
i386|universe|mpeg2dec|mpeg2dec,extract_mpeg2
i386|universe|checkpolicy|checkmodule,checkpolicy
i386|universe|tulip|tulip,tulip_check_pl
i386|universe|uwsgi-plugin-cgi|uwsgi_cgi,uwsgi
all|universe|python-cssutils|csscombine,cssparse,csscapture
all|universe|snmptt|snmpttconvert,snmptthandler,snmptt,snmpttconvertmib
i386|universe|qarecord|qarecord
i386|universe|zoneminder|zmupdate.pl,zmstreamer,zmdc.pl,zmpkg.pl,zmtrigger.pl,zmtrack.pl,zma,zmwatch.pl,zmf,zmvideo.pl,zmfix,zmaudit.pl,zmc,zmx10.pl,zmfilter.pl,zmcontrol.pl,zmu
i386|universe|fsviewer|fsviewer,chdef
i386|universe|9wm|9wm,x-window-manager
i386|universe|tstools|es2ts,psreport,ts_packet_insert,tsreport,stream_type,esfilter,pcapreport,esdots,esreverse,psdots,tsserve,tsplay,tsinfo,ps2ts,esreport,esmerge,m2ts2ts,ts2es
i386|universe|fio|fio_generate_plots,fio
i386|universe|fim|fimgs,fim
all|universe|common-lisp-controller|register-common-lisp-implementation,clc-unregister-user-package,clc-lisp,register-common-lisp-source,unregister-common-lisp-source,clc-slime,clc-update-customized-images,clc-register-user-package,unregister-common-lisp-implementation,clc-clbuild
i386|universe|debdelta|debdelta,debpatch,debdelta-upgrade,debdeltas
all|universe|ldapscripts|ldapaddmachine,ldaprenamemachine,lsldap,ldapdeletegroup,ldapmodifygroup,ldapsetpasswd,ldapgid,ldaprenameuser,ldapdeletemachine,ldapmodifymachine,ldapinit,ldapaddgroup,ldapmodifyuser,ldapsetprimarygroup,ldapid,ldapdeleteuser,ldapdeleteuserfromgroup,ldapaddusertogroup,ldapadduser,ldapfinger,ldaprenamegroup
i386|universe|plopfolio.app|PlopFolio
i386|universe|glpk-utils|glpsol
all|universe|libxml-tidy-perl|xmltidy
i386|universe|freegish|freegish
i386|universe|coldfire|coldfire
i386|universe|kobodeluxe|kobodl
i386|universe|libnfo1-bin|libnfo-reader
all|universe|mason|mason-gui-text,mason
i386|universe|dares|dares
all|universe|libsocialtext-resting-perl|strut
i386|universe|g++-4.4-arm-linux-gnueabi|arm-linux-gnueabi-g++-4.4
i386|universe|firebird2.5-superclassic|fb_smp_server
i386|universe|val-and-rick|val-and-rick
i386|universe|mudita24|mudita24
i386|main|gob2|gob2
i386|universe|genesis|genesis-convert,genesis
i386|universe|oftc-hybrid|ircd
i386|universe|dumpasn1|dumpasn1
i386|universe|iec16022|iec16022
all|main|idle|idle
i386|universe|pclock|pclock
all|main|language-selector-gnome|gnome-language-selector
i386|universe|farpd|farpd
i386|universe|smbios-utils|smbios-lcd-brightness,dellLcdBrightness,smbios-sys-info-lite,smbios-upflag-ctl,dellBiosUpdate-compat,getSystemId,dellMediaDirectCtl,smbios-wireless-ctl,dellLEDCtl,smbios-token-ctl,dellWirelessCtl,smbios-wakeup-ctl,smbios-state-byte-ctl,dellBiosUpdate,smbios-sys-info,smbios-rbu-bios-update,smbios-passwd,smbios-get-ut-data
all|universe|kwalify|kwalify
all|universe|archmbox|archmbox
i386|universe|biosig-tools|save2gdf,heka2itx,save2scp,save2aecg
i386|universe|tomoyo-tools|tomoyo-diffpolicy,tomoyo-loadpolicy,tomoyo-checkpolicy,tomoyo-domainmatch,tomoyo-setlevel,tomoyo-editpolicy,tomoyo-patternize,tomoyo-queryd,tomoyo-findtemp,tomoyo-selectpolicy,tomoyo-sortpolicy,tomoyo-pstree,tomoyo-setprofile,tomoyo-savepolicy,tomoyo-init,tomoyo-ld-watch
all|universe|med-practice|med-practice
i386|universe|schism|schism
i386|universe|xchm|xchm
i386|universe|boolstuff|booldnf
i386|universe|bliss|bliss
i386|universe|sip-tester|sipp
all|universe|mmake|mmake
i386|universe|fossil|fossil
i386|universe|nzbget|nzbget
all|universe|magicor|magicor,magicor-editor
all|universe|giws|giws
i386|universe|luajit|luajit-2.0.0-beta8
i386|universe|pretzel|pretzel,pretzel-it
i386|main|patch|patch
i386|universe|maqview|maqview,zrio,maqindex_socks,maqindex
i386|universe|isync|isync,mdconvert,mbsync,mbsync-get-cert
i386|universe|pinot|pinot-dbus-daemon,pinot-search,pinot-index,pinot,pinot-label,pinot-prefs
all|universe|libsikuli-script-java|sikuli
i386|universe|lordsawar|lordsawar-tile-editor,lordsawar-shield-editor,lordsawar-pbm,lordsawar,lordsawar-game-host-server,lordsawar-game-host-client,lordsawar-game-list-client,lordsawar-city-editor,lordsawar-game-list-server,lordsawar-army-editor,lordsawar-editor
i386|multiverse|xjadeo|qjadeo,xjremote,xjadeo,xjinfo
i386|universe|xl2tpd|pfc,xl2tpd
i386|universe|xvt|x-terminal-emulator,xvt
all|universe|txt2tags|txt2tags
i386|main|gnome-terminal|x-terminal-emulator,gnome-terminal.wrapper,gnome-terminal
i386|universe|netdiscover|netdiscover
all|main|mono-dmcs|dmcs
all|universe|vuze|vuze
i386|main|python-rdflib|rdfpipe
i386|universe|haxml|DtdToHaskell,Validate,MkOneOf,Xtract,Canonicalise
i386|universe|vdr-genindex|genindex
i386|universe|gopher|gophfilt,gopher
all|universe|spip|spip_add_site,spip_rm_site
all|universe|calendarserver|caldavd,calendarserver_export,calendarserver_manage_principals
i386|universe|kdenlive|kdenlive,kdenlive_render
i386|universe|mrtgutils-sensors|mrtg-sensors
i386|universe|spim|xspim,spim
all|main|libmail-dkim-perl|dkimproxy-sign,dkimproxy-verify
i386|main|expat|xmlwf
all|universe|xracer-tools|xracer-mkcraft,xracer-mkmeshnotex,xracer-mktrack,xracer-blender2track,xracer-mktrackscenery,xracer-mktube
i386|universe|galculator|galculator
i386|universe|guile-1.6-dev|guile-snarf,guile-tools,guile-config
all|universe|fwsnort|fwsnort
i386|main|krdc|krdc
all|universe|djvusmooth|djvusmooth
i386|universe|mdns-scan|mdns-scan
i386|universe|gigolo|gigolo
i386|universe|dwdiff|dwfilter,dwdiff
all|universe|flashbake|flashbakeall,flashbake
i386|universe|avant-window-navigator|avant-window-navigator,awn-applet
i386|universe|kdiff3|kdiff3
i386|universe|scsitools|rescan-scsi-bus,scsi-config,scsidev,scsiinfo,sraw,scsiformat,scsi-spin
all|universe|pmailq|pmailq
all|universe|bzr-gtk|bzr-handle-patch,bzr-notify
i386|universe|smc|smc
i386|universe|hal|hal-find-by-property,umount.hal,hal-get-property,hal-disable-polling,hal-device,hal-is-caller-locked-out,hald,hal-find-by-capability,hal-set-property,lshal,hal-lock
all|universe|tasque|tasque
i386|universe|lam-runtime|lamtrace,lamgrow,laminfo,lamexec,mpirun.lam,recon,lamclean,mpiexec,mpitask,mpirun,tkill,lamnodes,lamhalt,hboot,tping,lamboot,mpimsg,lamd,lamshrink,lamwipe,mpiexec.lam
i386|universe|atomicparsley|AtomicParsley
i386|universe|obexpushd|obexpushd,obex-folder-listing
i386|universe|fatattr|fatattr
all|universe|alice|alice
i386|universe|kchmviewer|kchmviewer
i386|main|kwalletmanager|kwalletmanager
all|universe|python-pykickstart|ksflatten,ksverdiff,ksvalidator
i386|universe|courier-mlm|webmlmd.rc,couriermlm,webmlmd
i386|universe|xfce4-mixer|xfce4-mixer
i386|main|nbd-server|nbd-server
i386|universe|firebird2.5-classic|fb_inet_server
i386|multiverse|assaultcube|assaultcube-server,assaultcube
i386|universe|plucker|plucker-build,plucker-dump,plucker-prc-install,pluck-comics,plucker,plucker-decode,plucker-setup
i386|main|wvdial|poff.wvdial,wvdial,pon.wvdial,wvdialconf
i386|universe|abr2gbr|abr2gbr
i386|universe|barcode|barcode
i386|universe|4store|4s-info,4s-cluster-stop,4s-cluster-destroy,4s-file-backup,4s-cluster-info,4s-dump,4s-cluster-create,4s-restore,4s-backend,4s-query,4s-ssh-all-parallel,4s-size,4s-backend-setup,4s-cluster-copy,4s-httpd,4s-import,4s-backend-passwd,4s-update,4s-backend-copy,4s-cluster-file-backup,4s-backend-info,4s-backend-destroy,4s-delete-model,4s-cluster-start,4s-ssh-all
all|universe|mytop|mytop
i386|universe|lswm|lswm
i386|universe|libcxxtools-dev|cxxtools-config
all|universe|aumix-common|xaumix,mute
i386|universe|libsidl-dev|babel-cxx,babel-cc,babel-libtool,babel-config,babel-f90,babel-f77
i386|universe|grsync|grsync,grsync-batch
i386|universe|mbt|mbt,mbtg
i386|universe|mbr|install-mbr
all|universe|fabric|fab
i386|universe|xmacro|xmacroplay,xmacrorec2,xmacroplay-keys,xmacrorec
i386|universe|etherpuppet|etherpuppet
all|universe|nagstamon|nagstamon
all|universe|gnulib|check-module,gnulib-tool
i386|universe|dynare|dynare++
i386|universe|zziplib-bin|zzxordir,zzxorcopy,zzdir,zzcat,zzxorcat
all|universe|tictactoe|tictactoe
i386|universe|xringd|xringd
